행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,2024-11-30,대전광역시,동구,중앙동,3626,2053,1573,22,36,58,41,48,89,112,91,203,173,110,283,223,113,336,428,199,627,1054,976,2030
3011053000,2024-11-30,대전광역시,동구,효동,24965,12218,12747,984,955,1939,1700,1581,3281,1291,1117,2408,1392,1389,2781,2171,2331,4502,2098,2064,4162,2582,3310,5892
3011054500,2024-11-30,대전광역시,동구,신인동,14775,7222,7553,607,566,1173,600,459,1059,667,627,1294,1145,1127,2272,1099,1038,2137,1141,1202,2343,1963,2534,4497
3011055100,2024-11-30,대전광역시,동구,판암1동,11863,5713,6150,312,268,580,426,391,817,622,572,1194,678,607,1285,754,732,1486,994,1071,2065,1927,2509,4436
3011055200,2024-11-30,대전광역시,동구,판암2동,7830,3768,4062,85,80,165,158,156,314,293,262,555,372,280,652,450,319,769,675,589,1264,1735,2376,4111
3011056000,2024-11-30,대전광역시,동구,용운동,21091,10658,10433,724,683,1407,835,833,1668,1674,1503,3177,1503,1286,2789,1466,1343,2809,1802,1737,3539,2654,3048,5702
3011058500,2024-11-30,대전광역시,동구,대동,13711,6878,6833,522,455,977,767,714,1481,773,652,1425,770,740,1510,1106,1062,2168,1172,1109,2281,1768,2100,3868
3011059000,2024-11-30,대전광역시,동구,자양동,10874,5777,5097,126,135,261,373,437,810,1786,1404,3190,590,390,980,612,425,1037,830,657,1487,1460,1649,3109
3011062000,2024-11-30,대전광역시,동구,가양1동,12780,6665,6115,238,256,494,522,497,1019,1035,760,1795,670,523,1193,909,779,1688,1207,977,2184,2084,2323,4407
3011063000,2024-11-30,대전광역시,동구,가양2동,18610,9318,9292,398,336,734,785,768,1553,1507,1505,3012,1136,847,1983,1235,1162,2397,1682,1592,3274,2575,3082,5657
3011064000,2024-11-30,대전광역시,동구,용전동,19960,10249,9711,382,360,742,675,654,1329,1897,1922,3819,1651,1193,2844,1501,1291,2792,1734,1543,3277,2409,2748,5157
3011066500,2024-11-30,대전광역시,동구,성남동,10781,5321,5460,327,284,611,386,384,770,550,498,1048,607,533,1140,772,728,1500,965,887,1852,1714,2145,3859
3011067000,2024-11-30,대전광역시,동구,홍도동,11072,5674,5398,237,206,443,368,326,694,1082,1038,2120,804,578,1382,750,584,1334,956,876,1832,1477,1790,3267
3011069500,2024-11-30,대전광역시,동구,삼성동,13383,6770,6613,329,288,617,525,499,1024,686,546,1232,709,637,1346,949,819,1768,1261,1100,2361,2311,2724,5035
3011072500,2024-11-30,대전광역시,동구,대청동,2167,1135,1032,18,17,35,42,56,98,87,56,143,77,42,119,99,68,167,226,157,383,586,636,1222
3011074000,2024-11-30,대전광역시,동구,산내동,21107,10604,10503,790,746,1536,1396,1226,2622,986,863,1849,1101,1025,2126,1743,1773,3516,1870,1690,3560,2718,3180,5898
3014053500,2024-11-30,대전광역시,중구,은행선화동,18446,9342,9104,756,761,1517,630,719,1349,1147,1332,2479,1669,1597,3266,1616,1315,2931,1534,1221,2755,1990,2159,4149
3014055000,2024-11-30,대전광역시,중구,목동,17599,8396,9203,847,833,1680,1363,1444,2807,919,914,1833,971,1121,2092,1615,1859,3474,1459,1420,2879,1222,1612,2834
3014056000,2024-11-30,대전광역시,중구,중촌동,13460,6532,6928,451,431,882,521,463,984,690,665,1355,919,832,1751,961,943,1904,1147,1182,2329,1843,2412,4255
3014057500,2024-11-30,대전광역시,중구,대흥동,12739,6289,6450,328,257,585,499,475,974,1034,1246,2280,902,841,1743,905,887,1792,1033,875,1908,1588,1869,3457
3014060500,2024-11-30,대전광역시,중구,문창동,4167,2129,2038,61,48,109,137,111,248,179,178,357,184,144,328,265,195,460,423,297,720,880,1065,1945
3014062000,2024-11-30,대전광역시,중구,석교동,14271,7219,7052,231,200,431,445,436,881,750,591,1341,716,544,1260,909,735,1644,1298,1216,2514,2870,3330,6200
3014063000,2024-11-30,대전광역시,중구,대사동,5245,2574,2671,72,48,120,148,91,239,392,526,918,353,283,636,277,218,495,421,377,798,911,1128,2039
3014064000,2024-11-30,대전광역시,중구,부사동,6207,3129,3078,117,94,211,209,158,367,296,289,585,341,248,589,399,334,733,579,533,1112,1188,1422,2610
3014065500,2024-11-30,대전광역시,중구,용두동,9894,4819,5075,247,283,530,344,364,708,788,890,1678,820,741,1561,710,660,1370,810,736,1546,1100,1401,2501
3014067000,2024-11-30,대전광역시,중구,오류동,10063,4691,5372,245,254,499,313,336,649,587,675,1262,677,642,1319,611,646,1257,840,921,1761,1418,1898,3316
3014068000,2024-11-30,대전광역시,중구,태평1동,12482,5994,6488,379,392,771,667,680,1347,685,624,1309,604,613,1217,985,1052,2037,1119,1164,2283,1555,1963,3518
3014069000,2024-11-30,대전광역시,중구,태평2동,24064,11440,12624,663,623,1286,1355,1314,2669,1362,1224,2586,936,1000,1936,1588,1874,3462,2121,2370,4491,3415,4219,7634
3014070000,2024-11-30,대전광역시,중구,유천1동,5808,2981,2827,116,99,215,132,131,263,336,288,624,413,318,731,436,336,772,562,475,1037,986,1180,2166
3014071000,2024-11-30,대전광역시,중구,유천2동,12906,6367,6539,280,285,565,484,420,904,781,743,1524,732,640,1372,845,791,1636,1015,1039,2054,2230,2621,4851
3014072000,2024-11-30,대전광역시,중구,문화1동,20587,9957,10630,691,611,1302,1318,1199,2517,1272,1215,2487,898,980,1878,1489,1724,3213,1780,1828,3608,2509,3073,5582
3014073000,2024-11-30,대전광역시,중구,문화2동,11417,5493,5924,179,175,354,451,387,838,603,499,1102,653,498,1151,673,657,1330,1078,1113,2191,1856,2595,4451
3014074000,2024-11-30,대전광역시,중구,산성동,25332,12854,12478,455,447,902,1025,907,1932,1419,1099,2518,1228,974,2202,1613,1506,3119,2522,2399,4921,4592,5146,9738
3017051000,2024-11-30,대전광역시,서구,복수동,21478,10632,10846,713,716,1429,1399,1371,2770,1442,1247,2689,1060,1040,2100,1693,1909,3602,2019,1936,3955,2306,2627,4933
3017052000,2024-11-30,대전광역시,서구,도마1동,18651,9407,9244,582,561,1143,618,572,1190,1534,1220,2754,1329,1151,2480,1241,1063,2304,1406,1457,2863,2697,3220,5917
3017053000,2024-11-30,대전광역시,서구,도마2동,16225,8122,8103,334,281,615,625,560,1185,1139,907,2046,942,752,1694,1005,885,1890,1368,1399,2767,2709,3319,6028
3017053500,2024-11-30,대전광역시,서구,정림동,15088,7321,7767,391,323,714,689,568,1257,811,701,1512,756,690,1446,975,945,1920,1257,1465,2722,2442,3075,5517
3017054000,2024-11-30,대전광역시,서구,변동,12814,6470,6344,316,283,599,484,431,915,713,654,1367,830,676,1506,906,789,1695,1146,1092,2238,2075,2419,4494
3017055000,2024-11-30,대전광역시,서구,용문동,11630,5551,6079,194,221,415,252,243,495,979,1148,2127,1127,980,2107,786,720,1506,830,902,1732,1383,1865,3248
3017055500,2024-11-30,대전광역시,서구,탄방동,26384,12693,13691,707,599,1306,1105,1041,2146,2187,2665,4852,2430,2293,4723,1925,2103,4028,2044,2155,4199,2295,2835,5130
3017056000,2024-11-30,대전광역시,서구,괴정동,18452,8986,9466,366,372,738,592,592,1184,1758,2385,4143,2071,1668,3739,1350,1183,2533,1218,1299,2517,1631,1967,3598
3017057000,2024-11-30,대전광역시,서구,가장동,10713,5161,5552,291,249,540,452,479,931,630,677,1307,644,542,1186,771,739,1510,902,1006,1908,1471,1860,3331
3017057500,2024-11-30,대전광역시,서구,내동,22417,10737,11680,663,621,1284,1147,1199,2346,1355,1356,2711,1235,1148,2383,1640,1772,3412,1838,2033,3871,2859,3551,6410
3017058100,2024-11-30,대전광역시,서구,갈마1동,20973,10610,10363,394,398,792,712,650,1362,2087,2014,4101,2001,1465,3466,1442,1341,2783,1555,1624,3179,2418,2871,5289
3017058200,2024-11-30,대전광역시,서구,갈마2동,23738,11917,11821,479,483,962,850,833,1683,2414,2624,5038,2452,1832,4284,1659,1570,3229,1887,1981,3868,2176,2498,4674
3017058600,2024-11-30,대전광역시,서구,월평1동,11128,6050,5078,157,140,297,255,230,485,1581,1294,2875,1245,803,2048,805,539,1344,850,807,1657,1157,1265,2422
3017058700,2024-11-30,대전광역시,서구,월평2동,13447,6361,7086,297,280,577,567,549,1116,762,667,1429,737,651,1388,723,840,1563,1112,1301,2413,2163,2798,4961
3017058800,2024-11-30,대전광역시,서구,월평3동,20148,9805,10343,738,641,1379,1239,1103,2342,1226,930,2156,1135,1250,2385,1367,1603,2970,1640,1945,3585,2460,2871,5331
3017059000,2024-11-30,대전광역시,서구,가수원동,10217,4994,5223,230,223,453,438,417,855,597,480,1077,575,505,1080,649,623,1272,884,930,1814,1621,2045,3666
3017059300,2024-11-30,대전광역시,서구,도안동,36596,17900,18696,2442,2350,4792,2590,2490,5080,1912,2155,4067,2656,3042,5698,3736,3933,7669,2504,2498,5002,2060,2228,4288
3017059600,2024-11-30,대전광역시,서구,관저1동,14710,6867,7843,445,415,860,718,657,1375,1138,1340,2478,915,975,1890,932,1087,2019,1155,1460,2615,1564,1909,3473
3017059700,2024-11-30,대전광역시,서구,관저2동,48072,23399,24673,2246,2187,4433,3006,2890,5896,3164,3089,6253,3267,3348,6615,4151,4526,8677,4055,4329,8384,3510,4304,7814
3017060000,2024-11-30,대전광역시,서구,기성동,3380,1739,1641,41,29,70,73,69,142,111,77,188,115,107,222,182,135,317,316,252,568,901,972,1873
3017063000,2024-11-30,대전광역시,서구,둔산1동,16318,8053,8265,657,646,1303,1706,1538,3244,794,634,1428,522,648,1170,1587,2042,3629,1460,1326,2786,1327,1431,2758
3017064000,2024-11-30,대전광역시,서구,둔산2동,35006,16815,18191,1328,1237,2565,1838,1754,3592,2376,2501,4877,2752,2807,5559,2435,2959,5394,2983,3469,6452,3103,3464,6567
3017065000,2024-11-30,대전광역시,서구,만년동,12086,6144,5942,351,343,694,560,505,1065,1255,881,2136,1103,924,2027,737,878,1615,1035,1146,2181,1103,1265,2368
3017066000,2024-11-30,대전광역시,서구,둔산3동,18816,9033,9783,468,429,897,1418,1259,2677,1160,1026,2186,744,764,1508,1309,1647,2956,1671,1786,3457,2263,2871,5134
3020052000,2024-11-30,대전광역시,유성구,진잠동,25394,12924,12470,801,709,1510,1194,1079,2273,1673,1420,3093,1735,1412,3147,1910,1813,3723,2466,2451,4917,3145,3586,6731
3020052600,2024-11-30,대전광역시,유성구,학하동,19571,10149,9422,946,891,1837,767,735,1502,1839,1312,3151,1702,1567,3269,1554,1410,2964,1342,1473,2815,1999,2034,4033
3020052700,2024-11-30,대전광역시,유성구,상대동,25198,12257,12941,1403,1344,2747,1822,1761,3583,1214,1107,2321,1316,1661,2977,2308,2554,4862,2046,2158,4204,2148,2356,4504
3020053000,2024-11-30,대전광역시,유성구,온천1동,26616,13861,12755,355,337,692,428,419,847,3148,3285,6433,3332,2422,5754,1740,1280,3020,1937,1814,3751,2921,3198,6119
3020054000,2024-11-30,대전광역시,유성구,온천2동,40491,21322,19169,1408,1377,2785,1562,1476,3038,5760,4084,9844,3287,2527,5814,2695,2524,5219,2680,2837,5517,3930,4344,8274
3020054600,2024-11-30,대전광역시,유성구,노은1동,20957,10419,10538,835,789,1624,1452,1326,2778,1312,1256,2568,1581,1458,3039,1711,1938,3649,1798,1777,3575,1730,1994,3724
3020054700,2024-11-30,대전광역시,유성구,노은2동,23454,11488,11966,848,788,1636,1554,1506,3060,1530,1362,2892,1410,1364,2774,1838,2109,3947,2107,2267,4374,2201,2570,4771
3020054800,2024-11-30,대전광역시,유성구,노은3동,36293,17793,18500,1901,1798,3699,2396,2288,4684,1796,1622,3418,2369,2537,4906,3407,3682,7089,2828,3005,5833,3096,3568,6664
3020055000,2024-11-30,대전광역시,유성구,신성동,25534,13454,12080,1206,1091,2297,1374,1192,2566,2208,1879,4087,2990,2208,5198,1940,1888,3828,1812,1800,3612,1924,2022,3946
3020057000,2024-11-30,대전광역시,유성구,전민동,25709,13243,12466,1098,989,2087,1425,1363,2788,2050,1598,3648,2436,1869,4305,1882,1969,3851,2000,2182,4182,2352,2496,4848
3020058000,2024-11-30,대전광역시,유성구,구즉동,32844,16817,16027,1419,1357,2776,1541,1459,3000,2377,1887,4264,3353,2813,6166,2609,2462,5071,2788,2794,5582,2730,3255,5985
3020060000,2024-11-30,대전광역시,유성구,관평동,37302,19064,18238,2044,1968,4012,2629,2446,5075,2416,2157,4573,3143,2848,5991,3372,3538,6910,3245,3007,6252,2215,2274,4489
3020061000,2024-11-30,대전광역시,유성구,원신흥동,30120,14365,15755,1759,1488,3247,1554,1465,3019,1487,1603,3090,2515,2735,5250,2624,2859,5483,2037,2380,4417,2389,3225,5614
3023051000,2024-11-30,대전광역시,대덕구,오정동,13654,7113,6541,204,199,403,460,424,884,1079,1047,2126,811,557,1368,878,664,1542,1321,1056,2377,2360,2594,4954
3023052000,2024-11-30,대전광역시,대덕구,대화동,5918,3106,2812,90,75,165,206,161,367,334,259,593,366,257,623,442,365,807,631,521,1152,1037,1174,2211
3023052500,2024-11-30,대전광역시,대덕구,회덕동,12685,6468,6217,308,288,596,444,386,830,663,572,1235,859,636,1495,794,682,1476,1207,1189,2396,2193,2464,4657
3023053300,2024-11-30,대전광역시,대덕구,비래동,14969,7412,7557,297,269,566,673,611,1284,969,824,1793,766,583,1349,950,946,1896,1506,1606,3112,2251,2718,4969
3023054300,2024-11-30,대전광역시,대덕구,송촌동,25561,12658,12903,698,712,1410,1545,1517,3062,1852,1547,3399,1300,1170,2470,1755,2047,3802,2785,2906,5691,2723,3004,5727
3023054600,2024-11-30,대전광역시,대덕구,중리동,18130,9498,8632,304,293,597,648,574,1222,1379,1093,2472,1217,816,2033,1283,1084,2367,1919,1639,3558,2748,3133,5881
3023055000,2024-11-30,대전광역시,대덕구,신탄진동,15914,8184,7730,461,491,952,572,501,1073,1031,793,1824,1325,1059,2384,1098,969,2067,1523,1449,2972,2174,2468,4642
3023056000,2024-11-30,대전광역시,대덕구,석봉동,16014,8165,7849,798,758,1556,893,795,1688,888,733,1621,1293,1217,2510,1459,1292,2751,1274,1312,2586,1560,1742,3302
3023057000,2024-11-30,대전광역시,대덕구,덕암동,12668,6838,5830,260,232,492,444,406,850,1013,708,1721,999,603,1602,869,743,1612,1408,1110,2518,1845,2028,3873
3023058000,2024-11-30,대전광역시,대덕구,목상동,5968,3243,2725,139,128,267,240,236,476,458,375,833,566,323,889,556,410,966,621,495,1116,663,758,1421
3023060000,2024-11-30,대전광역시,대덕구,법1동,12191,5693,6498,336,354,690,443,447,890,648,583,1231,761,721,1482,759,737,1496,1046,1268,2314,1700,2388,4088
3023061000,2024-11-30,대전광역시,대덕구,법2동,14763,7134,7629,337,313,650,636,557,1193,922,711,1633,706,621,1327,837,934,1771,1358,1579,2937,2338,2914,5252
