행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,110세이상 남자,110세이상 여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,2024-03-31,대전광역시,동구,중앙동,3780,2138,1642,0,0,29,43,72,43,50,93,113,96,209,174,117,291,262,119,381,448,216,664,1069,1001,2070
3011053000,2024-03-31,대전광역시,동구,효동,22668,11073,11595,0,0,830,835,1665,1634,1545,3179,1222,1032,2254,1025,1028,2053,2009,2251,4260,1952,1858,3810,2401,3046,5447
3011054500,2024-03-31,대전광역시,동구,신인동,15199,7410,7789,0,0,661,637,1298,617,475,1092,654,694,1348,1215,1165,2380,1168,1062,2230,1133,1226,2359,1962,2530,4492
3011055100,2024-03-31,대전광역시,동구,판암1동,12063,5839,6224,0,0,347,293,640,442,406,848,673,579,1252,686,628,1314,786,757,1543,1029,1103,2132,1876,2458,4334
3011055200,2024-03-31,대전광역시,동구,판암2동,7979,3842,4137,0,0,97,86,183,154,154,308,325,273,598,373,277,650,469,339,808,693,626,1319,1731,2382,4113
3011056000,2024-03-31,대전광역시,동구,용운동,21365,10779,10586,0,0,780,715,1495,857,883,1740,1694,1490,3184,1494,1281,2775,1539,1435,2974,1830,1782,3612,2585,3000,5585
3011058500,2024-03-31,대전광역시,동구,대동,13963,7010,6953,0,1,548,512,1060,761,683,1444,801,690,1491,813,765,1578,1137,1102,2239,1174,1123,2297,1776,2077,3853
3011059000,2024-03-31,대전광역시,동구,자양동,10898,5818,5080,0,1,122,144,266,393,519,912,1752,1267,3019,595,382,977,645,435,1080,835,681,1516,1476,1651,3127
3011062000,2024-03-31,대전광역시,동구,가양1동,12857,6735,6122,0,0,274,267,541,525,505,1030,1052,735,1787,675,527,1202,944,814,1758,1201,970,2171,2064,2304,4368
3011063000,2024-03-31,대전광역시,동구,가양2동,18837,9420,9417,0,0,440,359,799,841,823,1664,1490,1499,2989,1176,892,2068,1276,1197,2473,1678,1635,3313,2519,3012,5531
3011064000,2024-03-31,대전광역시,동구,용전동,20209,10359,9850,0,0,426,417,843,677,695,1372,1919,1989,3908,1700,1193,2893,1532,1299,2831,1746,1576,3322,2359,2681,5040
3011066500,2024-03-31,대전광역시,동구,성남동,10936,5392,5544,0,0,368,308,676,377,403,780,594,517,1111,621,551,1172,787,733,1520,961,908,1869,1684,2124,3808
3011067000,2024-03-31,대전광역시,동구,홍도동,11292,5761,5531,0,0,244,212,456,407,380,787,1085,1042,2127,789,579,1368,800,621,1421,973,908,1881,1463,1789,3252
3011069500,2024-03-31,대전광역시,동구,삼성동,13093,6651,6442,0,0,281,261,542,535,505,1040,704,544,1248,637,545,1182,936,814,1750,1247,1087,2334,2311,2686,4997
3011072500,2024-03-31,대전광역시,동구,대청동,2235,1171,1064,0,0,17,21,38,45,59,104,93,65,158,81,38,119,108,70,178,247,176,423,580,635,1215
3011074000,2024-03-31,대전광역시,동구,산내동,19498,9792,9706,0,0,675,598,1273,1344,1176,2520,952,829,1781,810,784,1594,1609,1695,3304,1796,1580,3376,2606,3044,5650
3014053500,2024-03-31,대전광역시,중구,은행선화동,15110,7716,7394,0,0,433,454,887,473,535,1008,1087,1247,2334,1253,1109,2362,1261,1009,2270,1339,1053,2392,1870,1987,3857
3014055000,2024-03-31,대전광역시,중구,목동,16769,7999,8770,0,0,788,803,1591,1315,1406,2721,922,881,1803,818,991,1809,1592,1828,3420,1427,1333,2760,1137,1528,2665
3014056000,2024-03-31,대전광역시,중구,중촌동,13714,6670,7044,0,0,456,447,903,543,512,1055,758,687,1445,918,833,1751,1014,990,2004,1160,1192,2352,1821,2383,4204
3014057500,2024-03-31,대전광역시,중구,대흥동,13081,6460,6621,0,0,352,276,628,527,479,1006,1063,1288,2351,933,872,1805,986,930,1916,1026,890,1916,1573,1886,3459
3014060500,2024-03-31,대전광역시,중구,문창동,4303,2226,2077,0,0,72,49,121,150,117,267,199,183,382,204,151,355,289,204,493,442,325,767,870,1048,1918
3014062000,2024-03-31,대전광역시,중구,석교동,14699,7409,7290,0,0,254,228,482,473,452,925,807,655,1462,736,580,1316,964,780,1744,1334,1274,2608,2841,3321,6162
3014063000,2024-03-31,대전광역시,중구,대사동,5337,2608,2729,0,0,77,48,125,156,103,259,444,531,975,315,283,598,305,238,543,426,402,828,885,1124,2009
3014064000,2024-03-31,대전광역시,중구,부사동,6370,3208,3162,0,0,134,104,238,198,164,362,330,328,658,354,267,621,432,352,784,595,544,1139,1165,1403,2568
3014065500,2024-03-31,대전광역시,중구,용두동,8996,4375,4621,0,0,169,196,365,282,338,620,785,863,1648,713,632,1345,613,575,1188,750,661,1411,1063,1356,2419
3014067000,2024-03-31,대전광역시,중구,오류동,10271,4786,5485,0,0,264,266,530,336,346,682,625,746,1371,668,653,1321,623,655,1278,862,958,1820,1408,1861,3269
3014068000,2024-03-31,대전광역시,중구,태평1동,12716,6099,6617,0,0,429,421,850,696,700,1396,697,648,1345,605,648,1253,1009,1075,2084,1154,1197,2351,1509,1928,3437
3014069000,2024-03-31,대전광역시,중구,태평2동,24417,11623,12794,0,1,697,668,1365,1391,1347,2738,1424,1241,2665,926,1016,1942,1662,1962,3624,2176,2374,4550,3347,4185,7532
3014070000,2024-03-31,대전광역시,중구,유천1동,5894,3036,2858,0,0,122,107,229,143,123,266,365,318,683,419,317,736,454,342,796,556,479,1035,977,1172,2149
3014071000,2024-03-31,대전광역시,중구,유천2동,13200,6503,6697,0,0,329,324,653,481,423,904,822,797,1619,728,680,1408,892,817,1709,1040,1064,2104,2211,2592,4803
3014072000,2024-03-31,대전광역시,중구,문화1동,20666,10004,10662,0,0,726,621,1347,1301,1210,2511,1322,1269,2591,893,993,1886,1531,1757,3288,1778,1821,3599,2453,2991,5444
3014073000,2024-03-31,대전광역시,중구,문화2동,11718,5659,6059,0,0,207,199,406,483,394,877,645,550,1195,664,512,1176,745,708,1453,1083,1130,2213,1832,2566,4398
3014074000,2024-03-31,대전광역시,중구,산성동,25815,13082,12733,0,0,502,516,1018,1055,947,2002,1496,1164,2660,1240,1007,2247,1737,1580,3317,2517,2450,4967,4535,5069,9604
3017051000,2024-03-31,대전광역시,서구,복수동,21691,10741,10950,0,0,780,785,1565,1429,1411,2840,1417,1235,2652,1108,1080,2188,1785,1972,3757,1959,1914,3873,2263,2553,4816
3017052000,2024-03-31,대전광역시,서구,도마1동,18827,9483,9344,0,0,612,588,1200,628,602,1230,1545,1244,2789,1379,1168,2547,1234,1077,2311,1439,1498,2937,2646,3167,5813
3017053000,2024-03-31,대전광역시,서구,도마2동,16444,8248,8196,0,0,357,293,650,622,594,1216,1183,938,2121,949,754,1703,1069,921,1990,1395,1435,2830,2673,3261,5934
3017053500,2024-03-31,대전광역시,서구,정림동,15275,7392,7883,0,0,403,352,755,695,589,1284,852,744,1596,769,730,1499,986,975,1961,1292,1498,2790,2395,2995,5390
3017054000,2024-03-31,대전광역시,서구,변동,13337,6728,6609,0,0,352,309,661,506,451,957,809,706,1515,880,718,1598,929,854,1783,1198,1138,2336,2054,2433,4487
3017055000,2024-03-31,대전광역시,서구,용문동,11910,5659,6251,0,0,205,255,460,266,252,518,1032,1245,2277,1129,980,2109,845,775,1620,817,901,1718,1365,1843,3208
3017055500,2024-03-31,대전광역시,서구,탄방동,26702,12831,13871,0,0,738,640,1378,1131,1032,2163,2323,2827,5150,2384,2283,4667,1963,2150,4113,2036,2167,4203,2256,2772,5028
3017056000,2024-03-31,대전광역시,서구,괴정동,18776,9173,9603,0,0,424,413,837,610,596,1206,1879,2444,4323,2061,1667,3728,1369,1233,2602,1211,1314,2525,1619,1936,3555
3017057000,2024-03-31,대전광역시,서구,가장동,10890,5244,5646,0,0,305,263,568,467,480,947,663,724,1387,665,567,1232,796,760,1556,895,1021,1916,1453,1831,3284
3017057500,2024-03-31,대전광역시,서구,내동,22809,10954,11855,0,0,711,678,1389,1169,1230,2399,1450,1393,2843,1261,1191,2452,1676,1813,3489,1876,2063,3939,2811,3487,6298
3017058100,2024-03-31,대전광역시,서구,갈마1동,21198,10754,10444,1,0,435,417,852,755,693,1448,2133,2063,4196,1990,1422,3412,1459,1409,2868,1606,1628,3234,2375,2812,5187
3017058200,2024-03-31,대전광역시,서구,갈마2동,24075,12125,11950,0,0,534,503,1037,855,834,1689,2540,2665,5205,2436,1898,4334,1727,1585,3312,1893,2021,3914,2140,2444,4584
3017058600,2024-03-31,대전광역시,서구,월평1동,11303,6107,5196,0,0,166,141,307,267,243,510,1595,1370,2965,1223,793,2016,803,552,1355,897,844,1741,1156,1253,2409
3017058700,2024-03-31,대전광역시,서구,월평2동,13592,6433,7159,0,0,309,289,598,577,567,1144,794,661,1455,727,674,1401,737,848,1585,1135,1338,2473,2154,2782,4936
3017058800,2024-03-31,대전광역시,서구,월평3동,20440,9959,10481,0,0,780,680,1460,1282,1129,2411,1262,967,2229,1173,1272,2445,1386,1664,3050,1667,2015,3682,2409,2754,5163
3017059000,2024-03-31,대전광역시,서구,가수원동,10384,5072,5312,0,0,245,229,474,459,439,898,639,493,1132,556,532,1088,669,651,1320,910,966,1876,1594,2002,3596
3017059300,2024-03-31,대전광역시,서구,도안동,36647,17988,18659,0,0,2565,2468,5033,2541,2439,4980,1958,2115,4073,2753,3126,5879,3768,3947,7715,2437,2404,4841,1966,2160,4126
3017059600,2024-03-31,대전광역시,서구,관저1동,14915,6997,7918,0,0,485,457,942,740,700,1440,1189,1348,2537,932,988,1920,930,1128,2058,1213,1466,2679,1508,1831,3339
3017059700,2024-03-31,대전광역시,서구,관저2동,48459,23581,24878,0,0,2425,2352,4777,2972,2924,5896,3214,3104,6318,3349,3442,6791,4231,4621,8852,4016,4259,8275,3374,4176,7550
3017060000,2024-03-31,대전광역시,서구,기성동,3438,1769,1669,0,0,48,27,75,78,74,152,122,87,209,109,101,210,207,146,353,317,254,571,888,980,1868
3017063000,2024-03-31,대전광역시,서구,둔산1동,16432,8070,8362,0,0,690,662,1352,1719,1572,3291,760,654,1414,511,663,1174,1640,2096,3736,1427,1276,2703,1323,1439,2762
3017064000,2024-03-31,대전광역시,서구,둔산2동,35262,17017,18245,0,0,1403,1283,2686,1886,1764,3650,2445,2614,5059,2728,2734,5462,2514,3018,5532,3001,3498,6499,3040,3334,6374
3017065000,2024-03-31,대전광역시,서구,만년동,12277,6244,6033,0,0,376,367,743,574,520,1094,1311,892,2203,1078,924,2002,782,938,1720,1044,1153,2197,1079,1239,2318
3017066000,2024-03-31,대전광역시,서구,둔산3동,19032,9163,9869,0,0,502,457,959,1439,1260,2699,1203,1038,2241,773,782,1555,1331,1692,3023,1698,1790,3488,2217,2850,5067
3020052000,2024-03-31,대전광역시,유성구,진잠동,25481,12997,12484,0,0,838,774,1612,1235,1089,2324,1731,1424,3155,1717,1387,3104,1982,1870,3852,2464,2467,4931,3030,3473,6503
3020052600,2024-03-31,대전광역시,유성구,학하동,19407,10038,9369,0,0,964,910,1874,757,729,1486,1814,1275,3089,1703,1579,3282,1518,1408,2926,1355,1486,2841,1927,1982,3909
3020052700,2024-03-31,대전광역시,유성구,상대동,25347,12332,13015,0,0,1443,1403,2846,1823,1752,3575,1268,1140,2408,1377,1715,3092,2323,2581,4904,2030,2176,4206,2068,2248,4316
3020053000,2024-03-31,대전광역시,유성구,온천1동,26389,13777,12612,0,0,388,357,745,459,446,905,3142,3219,6361,3194,2312,5506,1777,1341,3118,1984,1854,3838,2833,3083,5916
3020054000,2024-03-31,대전광역시,유성구,온천2동,40601,21367,19234,0,0,1441,1437,2878,1603,1501,3104,5721,4058,9779,3285,2530,5815,2745,2576,5321,2697,2896,5593,3875,4236,8111
3020054600,2024-03-31,대전광역시,유성구,노은1동,21101,10457,10644,0,0,902,822,1724,1455,1371,2826,1304,1265,2569,1556,1456,3012,1815,2014,3829,1751,1746,3497,1674,1970,3644
3020054700,2024-03-31,대전광역시,유성구,노은2동,23562,11536,12026,0,0,882,843,1725,1585,1524,3109,1548,1386,2934,1394,1340,2734,1901,2216,4117,2088,2186,4274,2138,2531,4669
3020054800,2024-03-31,대전광역시,유성구,노은3동,36483,17875,18608,0,0,2041,1915,3956,2369,2262,4631,1812,1644,3456,2391,2615,5006,3489,3733,7222,2780,2985,5765,2993,3454,6447
3020055000,2024-03-31,대전광역시,유성구,신성동,25839,13601,12238,0,0,1270,1159,2429,1429,1205,2634,2236,1950,4186,2982,2195,5177,1995,2001,3996,1824,1785,3609,1865,1943,3808
3020057000,2024-03-31,대전광역시,유성구,전민동,26258,13515,12743,0,0,1133,1041,2174,1454,1409,2863,2146,1683,3829,2516,1937,4453,1924,2021,3945,2050,2235,4285,2292,2417,4709
3020058000,2024-03-31,대전광역시,유성구,구즉동,33253,17024,16229,0,0,1504,1458,2962,1605,1463,3068,2457,2019,4476,3356,2811,6167,2675,2553,5228,2810,2773,5583,2617,3152,5769
3020060000,2024-03-31,대전광역시,유성구,관평동,33849,17267,16582,0,0,1928,1857,3785,2542,2345,4887,2157,1928,4085,2465,2350,4815,3202,3413,6615,2995,2665,5660,1978,2024,4002
3020061000,2024-03-31,대전광역시,유성구,원신흥동,30157,14415,15742,0,0,1795,1578,3373,1562,1444,3006,1484,1624,3108,2603,2805,5408,2653,2858,5511,2034,2355,4389,2284,3078,5362
3023051000,2024-03-31,대전광역시,대덕구,오정동,13914,7273,6641,0,0,234,223,457,497,454,951,1095,1044,2139,825,584,1409,915,706,1621,1365,1100,2465,2342,2530,4872
3023052000,2024-03-31,대전광역시,대덕구,대화동,6397,3327,3070,0,0,106,84,190,225,185,410,351,288,639,386,299,685,483,399,882,682,573,1255,1094,1242,2336
3023052500,2024-03-31,대전광역시,대덕구,회덕동,12047,6191,5856,0,0,271,253,524,467,386,853,638,524,1162,731,550,1281,778,658,1436,1196,1105,2301,2110,2380,4490
3023053300,2024-03-31,대전광역시,대덕구,비래동,15311,7575,7736,0,0,335,310,645,710,637,1347,989,877,1866,798,611,1409,1009,1014,2023,1527,1604,3131,2207,2683,4890
3023054300,2024-03-31,대전광역시,대덕구,송촌동,26011,12889,13122,0,0,743,745,1488,1616,1574,3190,1965,1633,3598,1284,1162,2446,1855,2160,4015,2793,2947,5740,2633,2901,5534
3023054600,2024-03-31,대전광역시,대덕구,중리동,18602,9680,8922,0,0,333,323,656,698,613,1311,1451,1196,2647,1213,867,2080,1375,1142,2517,1951,1713,3664,2659,3068,5727
3023055000,2024-03-31,대전광역시,대덕구,신탄진동,14999,7741,7258,0,0,429,452,881,562,486,1048,985,762,1747,1198,943,2141,1063,918,1981,1431,1363,2794,2073,2334,4407
3023056000,2024-03-31,대전광역시,대덕구,석봉동,16159,8292,7867,0,0,839,767,1606,861,780,1641,949,744,1693,1342,1251,2593,1486,1272,2758,1294,1366,2660,1521,1687,3208
3023057000,2024-03-31,대전광역시,대덕구,덕암동,12919,6961,5958,0,0,283,240,523,476,443,919,1077,744,1821,1018,629,1647,912,772,1684,1411,1157,2568,1784,1973,3757
3023058000,2024-03-31,대전광역시,대덕구,목상동,6097,3314,2783,0,0,164,145,309,247,261,508,480,380,860,589,338,927,573,422,995,628,508,1136,633,729,1362
3023060000,2024-03-31,대전광역시,대덕구,법1동,12382,5783,6599,0,0,363,373,736,466,465,931,682,609,1291,753,744,1497,786,763,1549,1063,1311,2374,1670,2334,4004
3023061000,2024-03-31,대전광역시,대덕구,법2동,15061,7331,7730,0,0,394,331,725,665,589,1254,962,749,1711,731,632,1363,874,986,1860,1413,1620,3033,2292,2823,5115
