행정기관코드,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,대전광역시,동구,중앙동,3697,2086,1611,27,40,67,40,48,88,112,97,209,175,111,286,244,121,365,439,212,651,1049,982,2031
3011053000,대전광역시,동구,효동,22542,10997,11545,808,819,1627,1630,1525,3155,1209,1035,2244,1006,1008,2014,1960,2205,4165,1979,1889,3868,2405,3064,5469
3011054500,대전광역시,동구,신인동,15137,7387,7750,655,636,1291,621,465,1086,649,662,1311,1183,1169,2352,1166,1056,2222,1136,1206,2342,1977,2556,4533
3011055100,대전광역시,동구,판암1동,12045,5811,6234,339,299,638,434,394,828,651,591,1242,693,626,1319,780,742,1522,1023,1103,2126,1891,2479,4370
3011055200,대전광역시,동구,판암2동,7927,3816,4111,92,81,173,158,156,314,306,263,569,367,273,640,460,341,801,699,608,1307,1734,2389,4123
3011056000,대전광역시,동구,용운동,21353,10778,10575,771,707,1478,852,872,1724,1693,1490,3183,1500,1298,2798,1523,1409,2932,1828,1776,3604,2611,3023,5634
3011058500,대전광역시,동구,대동,13920,7001,6919,542,488,1030,761,696,1457,800,670,1470,807,758,1565,1130,1092,2222,1182,1119,2301,1779,2096,3875
3011059000,대전광역시,동구,자양동,10885,5822,5063,124,137,261,383,474,857,1777,1310,3087,591,378,969,642,433,1075,828,677,1505,1477,1654,3131
3011062000,대전광역시,동구,가양1동,12809,6704,6105,255,264,519,524,509,1033,1051,731,1782,667,524,1191,924,794,1718,1208,974,2182,2075,2309,4384
3011063000,대전광역시,동구,가양2동,18817,9406,9411,420,348,768,814,820,1634,1536,1485,3021,1165,900,2065,1258,1181,2439,1670,1641,3311,2543,3036,5579
3011064000,대전광역시,동구,용전동,20151,10329,9822,413,404,817,679,672,1351,1914,1953,3867,1682,1233,2915,1544,1283,2827,1738,1587,3325,2359,2690,5049
3011066500,대전광역시,동구,성남동,10875,5376,5499,355,301,656,380,391,771,577,510,1087,621,555,1176,773,726,1499,970,891,1861,1700,2125,3825
3011067000,대전광역시,동구,홍도동,11153,5706,5447,247,206,453,401,371,772,1084,1023,2107,772,585,1357,778,605,1383,976,886,1862,1448,1771,3219
3011069500,대전광역시,동구,삼성동,12963,6568,6395,275,251,526,517,487,1004,696,542,1238,624,545,1169,908,784,1692,1245,1094,2339,2303,2692,4995
3011072500,대전광역시,동구,대청동,2215,1159,1056,18,21,39,42,60,102,95,63,158,80,39,119,102,71,173,236,171,407,586,631,1217
3011074000,대전광역시,동구,산내동,19447,9786,9661,651,575,1226,1355,1177,2532,955,798,1753,816,773,1589,1576,1666,3242,1803,1593,3396,2630,3079,5709
3014053500,대전광역시,중구,은행선화동,15755,8019,7736,479,510,989,491,567,1058,1083,1228,2311,1359,1233,2592,1329,1050,2379,1369,1100,2469,1909,2048,3957
3014055000,대전광역시,중구,목동,17605,8410,9195,857,878,1735,1371,1453,2824,931,893,1824,945,1117,2062,1650,1880,3530,1471,1383,2854,1185,1591,2776
3014056000,대전광역시,중구,중촌동,13590,6592,6998,457,437,894,534,489,1023,725,695,1420,918,824,1742,985,972,1957,1148,1191,2339,1825,2390,4215
3014057500,대전광역시,중구,대흥동,13011,6414,6597,346,279,625,518,478,996,1050,1290,2340,943,859,1802,963,926,1889,1028,879,1907,1566,1886,3452
3014060500,대전광역시,중구,문창동,4232,2177,2055,72,46,118,145,115,260,186,181,367,194,143,337,283,203,486,433,315,748,864,1052,1916
3014062000,대전광역시,중구,석교동,14638,7375,7263,261,228,489,468,446,914,783,648,1431,728,578,1306,941,769,1710,1336,1256,2592,2858,3338,6196
3014063000,대전광역시,중구,대사동,5322,2608,2714,77,52,129,151,102,253,425,530,955,322,278,600,306,230,536,428,397,825,899,1125,2024
3014064000,대전광역시,중구,부사동,6314,3179,3135,126,103,229,203,161,364,310,326,636,355,262,617,418,343,761,592,532,1124,1175,1408,2583
3014065500,대전광역시,중구,용두동,8879,4322,4557,166,194,360,273,321,594,771,844,1615,696,617,1313,614,569,1183,745,658,1403,1057,1354,2411
3014067000,대전광역시,중구,오류동,10216,4757,5459,252,264,516,331,340,671,617,719,1336,687,658,1345,608,655,1263,862,960,1822,1400,1863,3263
3014068000,대전광역시,중구,태평1동,12660,6076,6584,415,413,828,692,690,1382,696,645,1341,590,642,1232,1002,1059,2061,1139,1197,2336,1542,1938,3480
3014069000,대전광역시,중구,태평2동,24267,11540,12727,678,648,1326,1378,1341,2719,1390,1228,2618,922,1015,1937,1623,1940,3563,2173,2353,4526,3376,4202,7578
3014070000,대전광역시,중구,유천1동,5848,3020,2828,125,104,229,134,123,257,353,301,654,422,319,741,444,336,780,550,468,1018,992,1177,2169
3014071000,대전광역시,중구,유천2동,13051,6432,6619,310,306,616,486,424,910,808,769,1577,722,662,1384,865,800,1665,1034,1058,2092,2207,2600,4807
3014072000,대전광역시,중구,문화1동,20683,10013,10670,721,625,1346,1302,1208,2510,1316,1239,2555,907,1002,1909,1509,1745,3254,1786,1819,3605,2472,3032,5504
3014073000,대전광역시,중구,문화2동,11611,5603,6008,199,188,387,471,392,863,625,532,1157,669,509,1178,712,693,1405,1095,1129,2224,1832,2565,4397
3014074000,대전광역시,중구,산성동,25622,13000,12622,490,490,980,1039,937,1976,1463,1133,2596,1241,992,2233,1690,1547,3237,2530,2435,4965,4547,5088,9635
3017051000,대전광역시,서구,복수동,21632,10703,10929,759,758,1517,1416,1396,2812,1416,1248,2664,1085,1066,2151,1758,1962,3720,1993,1912,3905,2276,2587,4863
3017052000,대전광역시,서구,도마1동,18883,9509,9374,611,600,1211,637,601,1238,1544,1245,2789,1384,1171,2555,1249,1066,2315,1418,1505,2923,2666,3186,5852
3017053000,대전광역시,서구,도마2동,16390,8190,8200,348,289,637,616,582,1198,1167,948,2115,953,770,1723,1035,903,1938,1398,1439,2837,2673,3269,5942
3017053500,대전광역시,서구,정림동,15206,7368,7838,390,339,729,700,591,1291,842,725,1567,758,714,1472,979,964,1943,1281,1488,2769,2418,3017,5435
3017054000,대전광역시,서구,변동,13124,6631,6493,329,301,630,500,438,938,767,682,1449,860,697,1557,934,841,1775,1174,1119,2293,2067,2415,4482
3017055000,대전광역시,서구,용문동,11783,5610,6173,199,245,444,261,236,497,1008,1215,2223,1126,983,2109,817,750,1567,824,907,1731,1375,1837,3212
3017055500,대전광역시,서구,탄방동,26571,12759,13812,725,631,1356,1128,1038,2166,2256,2742,4998,2403,2302,4705,1938,2121,4059,2042,2173,4215,2267,2805,5072
3017056000,대전광역시,서구,괴정동,18674,9107,9567,415,404,819,609,598,1207,1813,2415,4228,2064,1688,3752,1378,1204,2582,1221,1310,2531,1607,1948,3555
3017057000,대전광역시,서구,가장동,10871,5229,5642,293,269,562,471,482,953,651,708,1359,658,559,1217,797,766,1563,904,1014,1918,1455,1844,3299
3017057500,대전광역시,서구,내동,22660,10870,11790,683,650,1333,1168,1213,2381,1401,1391,2792,1260,1176,2436,1638,1800,3438,1876,2046,3922,2844,3514,6358
3017058100,대전광역시,서구,갈마1동,21076,10685,10391,419,396,815,737,682,1419,2112,2043,4155,1987,1418,3405,1443,1396,2839,1591,1617,3208,2396,2839,5235
3017058200,대전광역시,서구,갈마2동,24004,12064,11940,523,498,1021,858,852,1710,2491,2651,5142,2433,1882,4315,1717,1589,3306,1893,2022,3915,2149,2446,4595
3017058600,대전광역시,서구,월평1동,11163,6075,5088,162,131,293,262,234,496,1598,1305,2903,1223,785,2008,798,545,1343,875,829,1704,1157,1259,2416
3017058700,대전광역시,서구,월평2동,13514,6402,7112,300,291,591,575,556,1131,781,657,1438,727,669,1396,737,851,1588,1123,1317,2440,2159,2771,4930
3017058800,대전광역시,서구,월평3동,20320,9897,10423,756,664,1420,1259,1119,2378,1253,947,2200,1176,1261,2437,1362,1640,3002,1671,1990,3661,2420,2802,5222
3017059000,대전광역시,서구,가수원동,10352,5063,5289,241,230,471,455,431,886,621,492,1113,571,519,1090,665,639,1304,897,959,1856,1613,2019,3632
3017059300,대전광역시,서구,도안동,36499,17888,18611,2515,2419,4934,2567,2444,5011,1901,2117,4018,2715,3088,5803,3741,3911,7652,2451,2473,4924,1998,2159,4157
3017059600,대전광역시,서구,관저1동,14870,6957,7913,480,452,932,733,682,1415,1162,1346,2508,937,996,1933,935,1110,2045,1195,1467,2662,1515,1860,3375
3017059700,대전광역시,서구,관저2동,48349,23536,24813,2393,2298,4691,2977,2906,5883,3190,3070,6260,3329,3440,6769,4216,4586,8802,4035,4292,8327,3396,4221,7617
3017060000,대전광역시,서구,기성동,3403,1757,1646,43,27,70,76,69,145,112,85,197,118,97,215,190,147,337,324,246,570,894,975,1869
3017063000,대전광역시,서구,둔산1동,16370,8056,8314,666,646,1312,1708,1551,3259,774,647,1421,518,655,1173,1617,2075,3692,1442,1299,2741,1331,1441,2772
3017064000,대전광역시,서구,둔산2동,35146,16943,18203,1375,1273,2648,1859,1756,3615,2418,2542,4960,2748,2786,5534,2498,2988,5486,2993,3500,6493,3052,3358,6410
3017065000,대전광역시,서구,만년동,12148,6196,5952,367,360,727,570,505,1075,1281,875,2156,1077,917,1994,760,915,1675,1056,1141,2197,1085,1239,2324
3017066000,대전광역시,서구,둔산3동,18932,9086,9846,486,449,935,1429,1267,2696,1161,1041,2202,780,773,1553,1301,1676,2977,1688,1789,3477,2241,2851,5092
3020052000,대전광역시,유성구,진잠동,25445,12976,12469,826,747,1573,1218,1089,2307,1714,1409,3123,1729,1403,3132,1957,1840,3797,2463,2475,4938,3069,3506,6575
3020052600,대전광역시,유성구,학하동,19483,10098,9385,953,901,1854,755,718,1473,1846,1295,3141,1694,1587,3281,1543,1394,2937,1346,1480,2826,1961,2010,3971
3020052700,대전광역시,유성구,상대동,25233,12248,12985,1411,1371,2782,1822,1759,3581,1256,1141,2397,1324,1692,3016,2299,2576,4875,2056,2172,4228,2080,2274,4354
3020053000,대전광역시,유성구,온천1동,26651,13888,12763,385,362,747,452,445,897,3169,3295,6464,3267,2352,5619,1775,1313,3088,1957,1852,3809,2883,3144,6027
3020054000,대전광역시,유성구,온천2동,40535,21332,19203,1414,1409,2823,1587,1484,3071,5717,4099,9816,3297,2521,5818,2727,2543,5270,2697,2885,5582,3893,4262,8155
3020054600,대전광역시,유성구,노은1동,21024,10456,10568,870,803,1673,1458,1336,2794,1321,1256,2577,1563,1439,3002,1773,1998,3771,1778,1753,3531,1693,1983,3676
3020054700,대전광역시,유성구,노은2동,23515,11508,12007,871,833,1704,1581,1522,3103,1529,1365,2894,1401,1351,2752,1876,2181,4057,2095,2209,4304,2155,2546,4701
3020054800,대전광역시,유성구,노은3동,36435,17857,18578,2005,1860,3865,2387,2285,4672,1798,1659,3457,2384,2565,4949,3455,3708,7163,2799,3012,5811,3029,3489,6518
3020055000,대전광역시,유성구,신성동,25611,13465,12146,1231,1135,2366,1423,1200,2623,2190,1932,4122,2934,2179,5113,1972,1932,3904,1840,1808,3648,1875,1960,3835
3020057000,대전광역시,유성구,전민동,25945,13385,12560,1126,1010,2136,1433,1388,2821,2117,1632,3749,2472,1912,4384,1911,2001,3912,2026,2187,4213,2300,2430,4730
3020058000,대전광역시,유성구,구즉동,32901,16851,16050,1456,1409,2865,1577,1451,3028,2410,1950,4360,3335,2797,6132,2636,2490,5126,2787,2763,5550,2650,3190,5840
3020060000,대전광역시,유성구,관평동,36411,18590,17821,2027,1973,4000,2595,2401,4996,2347,2115,4462,3007,2765,5772,3348,3505,6853,3162,2899,6061,2104,2163,4267
3020061000,대전광역시,유성구,원신흥동,30099,14391,15708,1768,1553,3321,1577,1468,3045,1480,1592,3072,2569,2749,5318,2648,2859,5507,2034,2367,4401,2315,3120,5435
3023051000,대전광역시,대덕구,오정동,13824,7214,6610,227,213,440,483,439,922,1091,1052,2143,815,575,1390,897,688,1585,1363,1086,2449,2338,2557,4895
3023052000,대전광역시,대덕구,대화동,6326,3306,3020,100,87,187,225,172,397,350,279,629,385,285,670,472,394,866,667,559,1226,1107,1244,2351
3023052500,대전광역시,대덕구,회덕동,12751,6531,6220,309,280,589,475,400,875,654,575,1229,856,625,1481,825,710,1535,1231,1182,2413,2181,2448,4629
3023053300,대전광역시,대덕구,비래동,15161,7513,7648,335,295,630,685,615,1300,984,860,1844,788,599,1387,980,981,1961,1529,1614,3143,2212,2684,4896
3023054300,대전광역시,대덕구,송촌동,25850,12811,13039,726,723,1449,1601,1558,3159,1927,1607,3534,1289,1164,2453,1806,2099,3905,2794,2950,5744,2668,2938,5606
3023054600,대전광역시,대덕구,중리동,18461,9626,8835,324,312,636,683,589,1272,1421,1174,2595,1205,849,2054,1343,1117,2460,1948,1705,3653,2702,3089,5791
3023055000,대전광역시,대덕구,신탄진동,15584,8010,7574,444,470,914,573,493,1066,1013,781,1794,1251,998,2249,1087,976,2063,1519,1452,2971,2123,2404,4527
3023056000,대전광역시,대덕구,석봉동,16064,8235,7829,826,759,1585,871,786,1657,932,741,1673,1309,1227,2536,1488,1287,2775,1283,1339,2622,1526,1690,3216
3023057000,대전광역시,대덕구,덕암동,12790,6879,5911,269,241,510,463,431,894,1054,746,1800,1007,623,1630,891,756,1647,1388,1122,2510,1807,1992,3799
3023058000,대전광역시,대덕구,목상동,6049,3289,2760,152,136,288,243,256,499,465,379,844,583,333,916,563,419,982,632,495,1127,651,742,1393
3023060000,대전광역시,대덕구,법1동,12310,5750,6560,361,372,733,461,465,926,654,577,1231,771,743,1514,772,755,1527,1055,1308,2363,1676,2340,4016
3023061000,대전광역시,대덕구,법2동,14920,7236,7684,370,326,696,650,572,1222,946,738,1684,713,627,1340,857,946,1803,1398,1613,3011,2302,2862,5164
